"Metabolite","Missing_Proportion"
"Aspartate",0
"Guanidinoacetate",0
"Glutamine",0
"Glutamate",0
"Pyroglutamine",0
"Cysteine_glutathione_disulfide",0
"Cys_gly_oxidized",0
"Pipecolate",0
"S_adenosylhomocysteine",0
"N_acetyltaurine",0
"Hydroxybutyrate_hydroxyisobutyrate_2",0
"Taurine",0
"N_acetylmethionine",0
"Bromotryptophan_5",0
"Citrulline",0
"Erythronate",0
"Mannose",0
"Fructose",0
"Anhydroglucitol_1_5",0
"Glucose",0
"Ribonate",0
"Arabonate_xylonate",0
"Oxalate",0
"Malate",0
"Palmitoyl_linoleoyl_glycerol",0
"Palmitoylcholine",0
"Hydroxydecanoate_3",0
"Hydroxyoctanoate_3",0
"Hydroxymyristate_3",0
"Hydroxylaurate_3",0
"Hydroxybutyrate_3",0
"Linoleoyl_GPC",0
"Stearoyl_GPC",0
"Stearoyl_GPI",0
"Enyl_palmitoyl_GPC",0
"Enyl_oleoyl_GPE",0
"Enyl_palmitoyl_GPE",0
"Arachidonoylcholine",0
"Oleoylcholine",0
"Dihomo_linolenoyl_choline",0
"Distearoyl_GPC",0
"Docosahexaenoylcholine",0
"Palmitoyl_arachidonoyl_GPE",0
"Palmitoyl_oleoyl_GPE",0
"GPC",0
"Enyl_palmitoyl_palmitoleoyl_GPC",0
"Enyl_palmitoyl_oleoyl_GPC",0
"Enyl_palmitoyl_linoleoyl_GPC",0
"Enyl_palmitoyl_palmitoyl_GPC",0
"Sphingomyelin_d18_2_14_0",0
"Sphingomyelin_d18_2_24_1",0
"Lactosyl_N_palmitoyl_sphingosine",0
"Sphingosine",0
"Sphingomyelin_d18_1_24_1",0
"Sphingomyelin_d18_1_20_1",0
"Sphingomyelin_d18_2_23_0",0
"Sphingomyelin_d18_2_16_0",0
"Sphingomyelin_d18_1_22_1",0
"Palmitoyl_sphingomyelin",0
"Palmitoyl_dihydrosphingomyelin",0
"Inosine",0
"Methylguanine_7",0
"Dihydroorotate",0
"Aminoisobutyrate_3",0
"Deoxyuridine_2",0
"Leucylalanine",0
"Fibrinogen_cleavage_peptide",0
"Gluconate",0
"Valine",0
"Leucine",0
"Isoleucine",0
"Alanine",0
"Serine",0
"Glycine",0
"Threonine",0
"Phenylalanine",0
"Tyrosine",0
"Tryptophan",0
"Histidine",0
"Lysine",0
"Arginine",0
"Proline",0
"Ornithine",0
"Homocysteine",0
"Cystine",0
"Asparagine",0
"Lactate",0
"Pyruvate",0
"Xylitol",0
"Sorbitol",0
"Maltose",0
"Cholesterol",0
"Choline",0
"Palmitate",0
"Stearate",0
"Oleate",0
"Linoleate",0
"Arachidonate",0
"Docosahexaenoate",0
"Eicosapentaenoate",0
"Myristate",0
"Palmitoleate",0
"Carnitine",0
"Acetylcarnitine",0
"Propionylcarnitine",0
"Cholate",0
"Deoxycholate",0
"Glycocholate",0
"Taurocholate",0
"Adenosine",0
"Guanosine",0
"Uridine",0
"Cytidine",0
"Hypoxanthine",0
"Xanthosine",0
"Uric_acid",0
"Allantoin",0
"Nicotinamide",0
"Pantothenate",0
"Riboflavin",0
"Pyridoxal",0
"Thiamine",0
"Ascorbate",0
"Alpha_tocopherol",0
"Gamma_glutamylalanine",0
"Gamma_glutamylglutamate",0
"Cysteinylglycine",0
"Caffeine",0
"Paraxanthine",0
"Theobromine",0
"Hippurate",0
"Salicylate",0
"Citrate",0
"Succinate",0
"Fumarate",0
"Alpha_ketoglutarate",0
