"Metabolite","Missing_Proportion","Passed_20pct"
"Aspartate",0,TRUE
"Guanidinoacetate",0,TRUE
"Glutamine",0,TRUE
"Glutamate",0,TRUE
"Pyroglutamine",0,TRUE
"Cysteine_glutathione_disulfide",0,TRUE
"Cys_gly_oxidized",0,TRUE
"Pipecolate",0,TRUE
"S_adenosylhomocysteine",0,TRUE
"N_acetyltaurine",0,TRUE
"Hydroxybutyrate_hydroxyisobutyrate_2",0,TRUE
"Taurine",0,TRUE
"N_acetylmethionine",0,TRUE
"Bromotryptophan_5",0,TRUE
"Citrulline",0,TRUE
"Erythronate",0,TRUE
"Mannose",0,TRUE
"Fructose",0,TRUE
"Anhydroglucitol_1_5",0,TRUE
"Glucose",0,TRUE
"Ribonate",0,TRUE
"Arabonate_xylonate",0,TRUE
"Oxalate",0,TRUE
"Malate",0,TRUE
"Palmitoyl_linoleoyl_glycerol",0,TRUE
"Palmitoylcholine",0,TRUE
"Hydroxydecanoate_3",0,TRUE
"Hydroxyoctanoate_3",0,TRUE
"Hydroxymyristate_3",0,TRUE
"Hydroxylaurate_3",0,TRUE
"Hydroxybutyrate_3",0,TRUE
"Linoleoyl_GPC",0,TRUE
"Stearoyl_GPC",0,TRUE
"Stearoyl_GPI",0,TRUE
"Enyl_palmitoyl_GPC",0,TRUE
"Enyl_oleoyl_GPE",0,TRUE
"Enyl_palmitoyl_GPE",0,TRUE
"Arachidonoylcholine",0,TRUE
"Oleoylcholine",0,TRUE
"Dihomo_linolenoyl_choline",0,TRUE
"Distearoyl_GPC",0,TRUE
"Docosahexaenoylcholine",0,TRUE
"Palmitoyl_arachidonoyl_GPE",0,TRUE
"Palmitoyl_oleoyl_GPE",0,TRUE
"GPC",0,TRUE
"Enyl_palmitoyl_palmitoleoyl_GPC",0,TRUE
"Enyl_palmitoyl_oleoyl_GPC",0,TRUE
"Enyl_palmitoyl_linoleoyl_GPC",0,TRUE
"Enyl_palmitoyl_palmitoyl_GPC",0,TRUE
"Sphingomyelin_d18_2_14_0",0,TRUE
"Sphingomyelin_d18_2_24_1",0,TRUE
"Lactosyl_N_palmitoyl_sphingosine",0,TRUE
"Sphingosine",0,TRUE
"Sphingomyelin_d18_1_24_1",0,TRUE
"Sphingomyelin_d18_1_20_1",0,TRUE
"Sphingomyelin_d18_2_23_0",0,TRUE
"Sphingomyelin_d18_2_16_0",0,TRUE
"Sphingomyelin_d18_1_22_1",0,TRUE
"Palmitoyl_sphingomyelin",0,TRUE
"Palmitoyl_dihydrosphingomyelin",0,TRUE
"Inosine",0,TRUE
"Methylguanine_7",0,TRUE
"Dihydroorotate",0,TRUE
"Aminoisobutyrate_3",0,TRUE
"Deoxyuridine_2",0,TRUE
"Leucylalanine",0,TRUE
"Fibrinogen_cleavage_peptide",0,TRUE
"Gluconate",0,TRUE
"Valine",0,TRUE
"Leucine",0,TRUE
"Isoleucine",0,TRUE
"Alanine",0,TRUE
"Serine",0,TRUE
"Glycine",0,TRUE
"Threonine",0,TRUE
"Phenylalanine",0,TRUE
"Tyrosine",0,TRUE
"Tryptophan",0,TRUE
"Histidine",0,TRUE
"Lysine",0,TRUE
"Arginine",0,TRUE
"Proline",0,TRUE
"Ornithine",0,TRUE
"Homocysteine",0,TRUE
"Cystine",0,TRUE
"Asparagine",0,TRUE
"Lactate",0,TRUE
"Pyruvate",0,TRUE
"Xylitol",0,TRUE
"Sorbitol",0,TRUE
"Maltose",0,TRUE
"Cholesterol",0,TRUE
"Choline",0,TRUE
"Palmitate",0,TRUE
"Stearate",0,TRUE
"Oleate",0,TRUE
"Linoleate",0,TRUE
"Arachidonate",0,TRUE
"Docosahexaenoate",0,TRUE
"Eicosapentaenoate",0,TRUE
"Myristate",0,TRUE
"Palmitoleate",0,TRUE
"Carnitine",0,TRUE
"Acetylcarnitine",0,TRUE
"Propionylcarnitine",0,TRUE
"Cholate",0,TRUE
"Deoxycholate",0,TRUE
"Glycocholate",0,TRUE
"Taurocholate",0,TRUE
"Adenosine",0,TRUE
"Guanosine",0,TRUE
"Uridine",0,TRUE
"Cytidine",0,TRUE
"Hypoxanthine",0,TRUE
"Xanthosine",0,TRUE
"Uric_acid",0,TRUE
"Allantoin",0,TRUE
"Nicotinamide",0,TRUE
"Pantothenate",0,TRUE
"Riboflavin",0,TRUE
"Pyridoxal",0,TRUE
"Thiamine",0,TRUE
"Ascorbate",0,TRUE
"Alpha_tocopherol",0,TRUE
"Gamma_glutamylalanine",0,TRUE
"Gamma_glutamylglutamate",0,TRUE
"Cysteinylglycine",0,TRUE
"Caffeine",0,TRUE
"Paraxanthine",0,TRUE
"Theobromine",0,TRUE
"Hippurate",0,TRUE
"Salicylate",0,TRUE
"Citrate",0,TRUE
"Succinate",0,TRUE
"Fumarate",0,TRUE
"Alpha_ketoglutarate",0,TRUE
