"Metabolite","Elastic_net_coefficient","Random_forest_MeanDecreaseGini","Abs_elastic_net_coefficient"
"Anhydroglucitol_1_5",-0.780641561279228,4.57704694541524,0.780641561279228
"Mannose",0.583302720546108,3.14904860050549,0.583302720546108
"Citrulline",-0.160663827062531,3.08809531594584,0.160663827062531
"Enyl_palmitoyl_GPC",-0.12344589137897,2.17697337550225,0.12344589137897
"Palmitoylcholine",-0.191222295618295,1.81657603476521,0.191222295618295
"Gluconate",0.0908998314566329,1.53074824638432,0.0908998314566329
"Sphingomyelin_d18_1_24_1",-0.0287466448206562,1.50817231372008,0.0287466448206562
"Arachidonoylcholine",-0.161699390798168,1.45734076677979,0.161699390798168
"Hydroxydecanoate_3",0.23055038988737,1.21601110515491,0.23055038988737
"Glucose",0.161247686543856,1.20342739947274,0.161247686543856
"S_adenosylhomocysteine",0.0739990386092902,1.0683854986232,0.0739990386092902
"Enyl_palmitoyl_palmitoyl_GPC",0,1.05348628674698,0
"Oleoylcholine",0,1.02585197514369,0
"Leucylalanine",-0.296655019636267,1.00136625652328,0.296655019636267
"Ribonate",0,0.946502556201601,0
"Bromotryptophan_5",-0.133314555528013,0.892474877857569,0.133314555528013
"Sphingomyelin_d18_1_20_1",0,0.886061392426572,0
"Hydroxyoctanoate_3",0,0.818702227449929,0
"Dihomo_linolenoyl_choline",-0.0821136609646633,0.641052765170827,0.0821136609646633
"Enyl_oleoyl_GPE",0,0.60902131487019,0
"Gamma_glutamylalanine",0,0.592209407441532,0
"Arabonate_xylonate",0.0291471213144084,0.588553926074106,0.0291471213144084
"Enyl_palmitoyl_palmitoleoyl_GPC",0,0.580887648151908,0
"Methylguanine_7",0,0.565058101411579,0
"Enyl_palmitoyl_GPE",0,0.535891393721797,0
"Docosahexaenoylcholine",0,0.506125351058921,0
"Stearoyl_GPI",0,0.505001996444769,0
"N_acetylmethionine",0,0.493599611523841,0
"N_acetyltaurine",0,0.492218755040837,0
"Enyl_palmitoyl_linoleoyl_GPC",0,0.449441809775368,0
"Stearoyl_GPC",0,0.447255039793587,0
"Fibrinogen_cleavage_peptide",0,0.445646404685436,0
"Lysine",0,0.436738286469561,0
"Guanidinoacetate",0,0.415044877607005,0
"Glutamate",0,0.405151628545948,0
"Hydroxybutyrate_3",0,0.398784541690478,0
"Dihydroorotate",0,0.395649711774862,0
"Tyrosine",0,0.393220735346338,0
"Hydroxymyristate_3",0.0109492922720145,0.392363757965031,0.0109492922720145
"Inosine",0,0.38750301740673,0
"Pipecolate",0,0.375046433182312,0
"Palmitoyl_linoleoyl_glycerol",0,0.358649013752288,0
"Lactosyl_N_palmitoyl_sphingosine",0,0.355966875346278,0
"Sphingomyelin_d18_2_24_1",0,0.347839233133874,0
"Enyl_palmitoyl_oleoyl_GPC",0,0.337429559440402,0
"Linoleoyl_GPC",0,0.336110774178955,0
"Sphingosine",0,0.33230230812835,0
"Sphingomyelin_d18_2_23_0",0,0.33137422147812,0
"Hydroxylaurate_3",0,0.328755700924779,0
"Palmitoyl_oleoyl_GPE",0,0.313189597446111,0
"Cytidine",0,0.305351578811242,0
"Sphingomyelin_d18_1_22_1",0,0.303729712965646,0
"Propionylcarnitine",0,0.303319191937158,0
"Cys_gly_oxidized",0,0.287030550323689,0
"Aspartate",0,0.284661104014518,0
"Glutamine",0,0.282562343159725,0
"Homocysteine",0,0.276430170786962,0
"Erythronate",0,0.266877094607681,0
"Fructose",0,0.259681220859127,0
"Guanosine",0,0.258575435573782,0
"Threonine",0,0.246814637648913,0
"Deoxyuridine_2",0,0.242514104905004,0
"GPC",0,0.238031136257389,0
"Pyroglutamine",0,0.236306856336974,0
"Palmitoyl_sphingomyelin",0,0.23103623863971,0
"Aminoisobutyrate_3",0,0.230556715202763,0
"Pantothenate",0,0.223741990811413,0
"Arachidonate",0,0.223386521955505,0
"Distearoyl_GPC",0,0.220511033347947,0
"Sphingomyelin_d18_2_14_0",0,0.217829312135305,0
"Cysteinylglycine",0,0.204917708182397,0
"Cholesterol",0,0.204215873391998,0
"Hydroxybutyrate_hydroxyisobutyrate_2",0,0.203517719052044,0
"Serine",0,0.200156978739308,0
"Acetylcarnitine",0,0.196815898223868,0
"Paraxanthine",0,0.193868473600012,0
"Stearate",0,0.192673583413444,0
"Adenosine",0,0.191955223370189,0
"Sphingomyelin_d18_2_16_0",0,0.190263839275914,0
"Oleate",0,0.189534452822958,0
"Hippurate",0,0.187868481284396,0
"Succinate",0,0.186999906032524,0
"Malate",0,0.186134473127523,0
"Sorbitol",0,0.183129141533302,0
"Cholate",0,0.180115490076119,0
"Gamma_glutamylglutamate",0,0.17386712235149,0
"Palmitoyl_arachidonoyl_GPE",0,0.172758207172293,0
"Palmitoyl_dihydrosphingomyelin",0,0.171810273045349,0
"Oxalate",0,0.170448501006678,0
"Choline",0,0.169229657213384,0
"Eicosapentaenoate",0,0.166414241920006,0
"Isoleucine",0,0.166371089675321,0
"Ornithine",0,0.165240350270199,0
"Maltose",0,0.164039709601922,0
"Linoleate",0,0.157289621299389,0
"Proline",0,0.154544686638299,0
"Carnitine",0,0.154253709087268,0
"Palmitoleate",0,0.154130329752244,0
"Hypoxanthine",0,0.153385795883047,0
"Xylitol",0,0.152347168497693,0
"Histidine",0,0.150837953790793,0
"Cysteine_glutathione_disulfide",0,0.148878889902142,0
"Docosahexaenoate",0,0.148830777827308,0
"Tryptophan",0,0.148808333321619,0
"Taurocholate",0,0.148668652746933,0
"Fumarate",0,0.146494513239327,0
"Uric_acid",0,0.145151235280993,0
"Leucine",0,0.144576940244116,0
"Myristate",0,0.143907150608438,0
"Glycine",0,0.141320210624895,0
"Palmitate",0,0.138748385736624,0
"Citrate",0,0.137250875865973,0
"Deoxycholate",0,0.13454652039404,0
"Valine",0,0.132162285292558,0
"Allantoin",0,0.132099268619145,0
"Alpha_tocopherol",0,0.131983290297619,0
"Asparagine",0,0.128802624740074,0
"Xanthosine",0,0.125230769623639,0
"Arginine",0,0.122715974352767,0
"Salicylate",0,0.122124844485585,0
"Cystine",0,0.121517784291778,0
"Alpha_ketoglutarate",0,0.120826652895618,0
"Pyruvate",0,0.120732715838924,0
"Ascorbate",0,0.120373163549388,0
"Thiamine",0,0.120220707708379,0
"Lactate",0,0.117039830035645,0
"Taurine",0,0.116766295156543,0
"Pyridoxal",0,0.115720140048781,0
"Glycocholate",0,0.111512401814679,0
"Nicotinamide",0,0.110479265764402,0
"Caffeine",0,0.107484680605755,0
"Riboflavin",0,0.0972225081935423,0
"Theobromine",0,0.0965497314483254,0
"Uridine",0,0.094592775409805,0
"Alanine",0,0.0756129008842395,0
"Phenylalanine",0,0.0711331294615589,0
