"Trait","Variants_tested","Naive_lambda","Adjusted_lambda","Naive_min_P","Adjusted_min_P","Naive_within_trait_FDR_hits","Adjusted_within_trait_FDR_hits","Null_model_genetic_variance"
"Anhydroglucitol_1_5",66078,0.95291799133731,0.98548227928201,2.6922635200343e-05,3.00032971426353e-05,0,0,0
"Mannose",66078,1.01910526181307,1.01433165583719,3.2067724611395e-05,5.4893596713454e-05,0,0,0
"Citrulline",66078,0.96039714432873,0.994812081090024,6.9998509856992e-05,3.25308018187522e-05,0,0,0
"Enyl_palmitoyl_GPC",66078,0.958576566431013,1.00442563423605,4.08126057070611e-05,2.43981245583655e-05,0,0,0
"Palmitoylcholine",66078,0.989005272311381,1.02408377693795,1.39316264476064e-05,2.06160910472978e-05,0,0,0.131409560104852
"Arachidonoylcholine",66078,0.952344856996609,0.989678500649052,1.88305354392306e-05,1.89232689819312e-05,0,0,0
"Glucose",66078,1.00935549353118,1.00888419573168,6.92745958292826e-06,2.46487865537733e-06,0,0,0.781121996703114
"Gluconate",66078,1.03884260708814,0.992317197339736,6.93129432014768e-06,2.55515682981281e-05,0,0,1.04554182172526
"S_adenosylhomocysteine",66078,1.02223158470959,1.00568257746772,9.76392906145086e-06,5.30708841955925e-05,0,0,0.944403353411473
"Oleoylcholine",66078,1.00566086140951,1.00581451179676,1.27887973170484e-05,2.44758508281985e-05,0,0,0
"Arabonate_xylonate",66078,1.15524698483898,1.01050510180414,5.6727788535384e-05,8.58781836774494e-05,0,0,0.195830483918874
"Hydroxydecanoate_3",66078,0.983610679865509,1.00999908730049,5.1977523612994e-05,3.92512272529751e-05,0,0,0.00276391730750324
"Leucylalanine",66078,0.968993851275302,1.0079338833924,9.89073219616261e-05,6.95457730377639e-05,0,0,0
"Ribonate",66078,0.964302439325548,1.00963609524211,0.000101292450064463,3.64048404347096e-05,0,0,0.000118973627902193
"Bromotryptophan_5",66078,1.12146707286486,0.991816670950855,1.14797807910201e-05,1.18610445766611e-05,0,0,0
"Hydroxyoctanoate_3",66078,0.964695777931025,0.983652479861423,2.84211723615873e-05,7.47920223517701e-06,0,0,0
"Dihomo_linolenoyl_choline",66078,1.04694623561898,1.00134122125158,5.68535890188752e-05,2.69673635695462e-06,0,0,0.92220331761688
"Enyl_palmitoyl_GPE",66078,0.979200423372966,1.01587829808236,1.04269386400271e-05,1.13254614345675e-05,0,0,0.000181016018814344
"Sphingomyelin_d18_1_24_1",66078,1.02584337679023,1.00359042118408,8.35523639802556e-06,3.47854777929057e-05,0,0,0
"Stearoyl_GPI",66078,1.01752554220668,1.01830154041382,1.05470446080579e-05,2.18415247521402e-05,0,0,0.954773093331363
"Enyl_oleoyl_GPE",66078,1.19097331929664,1.01172457960748,7.51491183265594e-06,2.912274326653e-05,0,0,0
"Malate",66078,0.969955390631926,0.986461696645702,5.94065349509994e-05,3.31257902423078e-05,0,0,0.000131433976583086
"Enyl_palmitoyl_palmitoleoyl_GPC",66078,0.999692782606388,1.01038601090987,4.5454878431381e-05,3.51539155140207e-05,0,0,0
"Hydroxybutyrate_3",66078,0.995215690573272,1.01174821962581,1.96430699490531e-06,6.13010259355397e-06,0,0,1.1374324492277
"Methylguanine_7",66078,1.04097542771123,1.00527269342659,5.03160867426384e-05,2.09316306224896e-05,0,0,0.863304093644551
"Lactosyl_N_palmitoyl_sphingosine",66078,0.97729675601531,1.00434211129382,4.56378725399729e-05,6.20359168607104e-05,0,0,0
"N_acetylmethionine",66078,0.989732876491304,0.993834243586577,2.33774165495056e-05,2.28268152302357e-06,0,0,0
"Fibrinogen_cleavage_peptide",66078,0.954535457192863,1.00114712397489,9.00661013494722e-05,3.1882485083148e-05,0,0,0.000203618588795524
"Inosine",66078,1.01794918371752,0.996366452199539,7.77101503595475e-06,3.32484187132125e-05,0,0,0.000130717725377902
"Docosahexaenoylcholine",66078,1.00642720681344,1.00394416770706,1.14810471660334e-05,5.83260911082078e-06,0,0,0
"Glutamate",66078,1.00453235920786,1.00648140393205,4.29770526995869e-06,7.45085663577484e-07,0,1,0.000128461851277817
"Enyl_palmitoyl_oleoyl_GPC",66078,1.09457042617594,0.997324881892715,1.79171680670041e-05,1.13006516233319e-05,0,0,0
"Guanidinoacetate",66078,0.994733511232168,1.00409417483297,3.86010983872969e-05,3.93577651166688e-05,0,0,0
